timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:55, 68, 68, 98, 20, 44, 42, 47, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:57, 68, 68, 98, 20, 44, 42, 47, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:00, 68, 68, 94, 20, 44, 42, 47, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:02, 68, 68, 94, 20, 44, 42, 47, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:05, 68, 68, 94, 20, 44, 42, 47, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 17:55:08, 68, 68, 94, 20, 44, 42, 47, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 18:55:10, 68, 68, 94, 20, 44, 42, 47, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 19:55:13, 68, 68, 94, 20, 44, 42, 47, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 20:55:15, 68, 68, 96, 20, 44, 42, 47, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 21:55:18, 68, 68, 96, 20, 44, 42, 47, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 22:55:20, 68, 68, 95, 20, 44, 42, 47, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 23:55:23, 68, 68, 95, 20, 44, 42, 47, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 00:55:25, 68, 68, 95, 20, 44, 42, 47, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 01:55:28, 68, 68, 95, 20, 44, 42, 47, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 02:55:30, 68, 68, 96, 20, 44, 42, 47, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 03:55:33, 68, 68, 96, 20, 44, 42, 47, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 04:55:35, 68, 68, 75, 20, 44, 42, 47, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 05:55:37, 68, 68, 75, 20, 44, 42, 47, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 06:55:40, 68, 68, 75, 20, 44, 42, 47, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 07:55:42, 58, 58, 75, 20, 40, 50, 57, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 08:55:45, 61, 61, 63, 19, 40, 50, 57, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 09:55:47, 61, 61, 63, 19, 40, 50, 57, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 10:55:50, 61, 61, 65, 19, 40, 50, 57, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 11:55:53, 61, 61, 65, 19, 40, 50, 57, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 12:55:55, 61, 61, 65, 19, 40, 50, 57, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 13:55:58, 61, 61, 65, 19, 40, 50, 57, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 14:56:00, 61, 61, 63, 19, 40, 50, 57, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 15:56:03, 61, 61, 63, 19, 40, 50, 57, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 16:56:06, 61, 61, 63, 19, 40, 50, 57, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:37:20, 61, 61, 63, 19, 40, 50, 57, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:56:08, 61, 61, 63, 19, 40, 50, 57, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:37:22, 61, 61, 63, 19, 40, 50, 57, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:56:11, 61, 61, 63, 19, 40, 50, 57, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:37:25, 61, 61, 63, 19, 40, 50, 57, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:56:13, 61, 61, 63, 19, 40, 50, 57, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:37:28, 61, 61, 63, 19, 40, 50, 57, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:56:16, 61, 61, 60, 19, 40, 50, 57, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:37:30, 61, 61, 60, 19, 40, 50, 57, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:56:19, 61, 61, 60, 19, 40, 50, 57, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:37:33, 61, 61, 60, 19, 40, 50, 57, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:56:21, 61, 61, 60, 19, 40, 50, 57, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:37:35, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:56:23, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:37:38, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:56:26, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:37:40, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:56:28, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:37:43, 61, 61, 62, 19, 40, 50, 57, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:56:31, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:37:46, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:56:33, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:37:49, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:56:35, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:37:51, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:56:38, 61, 61, 75, 19, 40, 50, 57, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:37:54, 71, 71, 56, 22, 25, 48, 54, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:56:40, 71, 71, 56, 22, 25, 48, 54, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
