timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:56, 56, 12, 98, 22, 52, 56, 44, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:58, 56, 12, 98, 22, 52, 56, 44, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:01, 56, 12, 94, 22, 52, 56, 44, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:03, 56, 12, 94, 22, 52, 56, 44, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:07, 56, 12, 94, 22, 52, 56, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 17:55:09, 56, 12, 94, 22, 52, 56, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 18:55:11, 56, 12, 94, 22, 52, 56, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 19:55:14, 56, 12, 94, 22, 52, 56, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 20:55:16, 56, 12, 96, 22, 52, 56, 44, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 21:55:19, 56, 12, 96, 22, 52, 56, 44, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 22:55:22, 56, 12, 95, 22, 52, 56, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 23:55:24, 56, 12, 95, 22, 52, 56, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 00:55:27, 56, 12, 95, 22, 52, 56, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 01:55:29, 56, 12, 95, 22, 52, 56, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 02:55:31, 56, 12, 96, 22, 52, 56, 44, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 03:55:34, 56, 12, 96, 22, 52, 56, 44, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 04:55:36, 56, 12, 75, 22, 52, 56, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 05:55:38, -, 12, 75, 22, 52, 56, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 06:55:41, -, 12, 75, 22, 52, 56, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 07:55:43, 78, 12, 75, 31, 48, 78, 60, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 08:55:46, 78, 12, 63, 31, 47, 78, 61, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 09:55:49, 78, 12, 63, 31, 47, 78, 61, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 10:55:51, 78, 12, 63, 31, 47, 78, 61, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 11:55:54, 78, 12, 63, 31, 47, 78, 61, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 12:55:56, 78, 12, 65, 31, 47, 78, 61, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 13:55:59, 78, 12, 65, 31, 47, 78, 61, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 14:56:01, 78, 12, 63, 31, 47, 78, 61, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 15:56:04, 78, 12, 63, 31, 47, 78, 61, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 16:56:07, 78, 12, 63, 31, 47, 78, 61, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:37:21, 78, 12, 63, 31, 47, 78, 61, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:56:09, 78, 12, 63, 31, 47, 78, 61, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:37:24, 78, 12, 63, 31, 47, 78, 61, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:56:12, 78, 12, 63, 31, 47, 78, 61, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:37:26, 78, 12, 63, 31, 47, 78, 61, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:56:14, 78, 12, 63, 31, 47, 78, 61, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:37:29, 78, 12, 63, 31, 47, 78, 61, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:56:17, 78, 12, 60, 31, 47, 78, 61, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:37:31, 78, 12, 60, 31, 47, 78, 61, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:56:20, 78, 12, 60, 31, 47, 78, 61, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:37:34, 78, 12, 60, 31, 47, 78, 61, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:56:22, 78, 12, 60, 31, 47, 78, 61, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:37:36, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:56:24, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:37:39, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:56:27, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:37:41, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:56:29, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:37:44, 78, 12, 62, 31, 47, 78, 61, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:56:32, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:37:47, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:56:34, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:37:50, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:56:37, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:37:52, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:56:39, 78, 12, 75, 31, 47, 78, 61, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:37:55, 60, 15, 56, 30, 54, 78, 60, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:56:41, 60, 15, 56, 30, 54, 78, 60, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 07:37:58, 60, 15, 56, 30, 54, 78, 60, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 07:56:44, 77, 16, 56, 30, 56, 77, 60, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 08:38:01, 77, 16, 56, 30, 56, 77, 60, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 08:56:46, 78, 16, 54, 30, 58, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 09:38:03, 78, 16, 54, 30, 58, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 09:56:49, 78, 16, 54, 30, 58, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:38:06, 78, 18, 54, 30, 61, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:56:51, 78, 18, 54, 30, 61, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:38:08, 78, 18, 54, 30, 61, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:56:54, 78, 18, 54, 30, 61, 78, 60, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:38:11, 78, 18, 53, 30, 61, 78, 60, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:56:57, 78, 18, 53, 30, 61, 78, 60, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:38:14, 78, 18, 53, 30, 61, 78, 60, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:56:59, 78, 18, 53, 30, 61, 78, 60, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:38:16, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:57:01, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:38:18, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:57:04, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:38:21, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:57:06, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:38:23, 78, 18, 53, 30, 61, 78, 60, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:57:09, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:38:26, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:57:11, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:38:29, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:57:13, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:38:31, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:57:15, 78, 18, 55, 30, 61, 78, 60, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:38:34, 78, 18, 68, 30, 61, 78, 60, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:57:18, 78, 18, 68, 30, 61, 78, 60, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:38:36, 78, 18, 68, 30, 61, 78, 60, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:57:20, 78, 18, 68, 30, 61, 78, 60, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:38:39, 78, 18, 68, 30, 61, 78, 60, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:57:23, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:38:41, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:57:25, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:38:44, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:57:28, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:38:46, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:57:30, 78, 18, 77, 30, 61, 78, 60, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:38:48, 78, 18, 65, 30, 61, 78, 60, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:57:33, 78, 18, 65, 30, 61, 78, 60, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:38:51, 78, 18, 65, 30, 61, 78, 60, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:57:35, 78, 18, 65, 30, 61, 78, 60, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:38:53, 78, 18, 65, 30, 61, 78, 60, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:57:37, 92, 19, 59, 26, 24, 92, 72, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:38:56, 94, 21, 59, 26, 28, 94, 73, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:57:40, 94, 21, 59, 26, 28, 94, 73, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:38:58, 94, 21, 59, 26, 28, 94, 73, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:57:42, 94, 21, 59, 26, 28, 94, 73, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:39:00, 95, 21, 43, 26, 32, 95, 74, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:57:44, 95, 21, 43, 26, 32, 95, 74, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
