timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 11:54:54, 2393, 2393, 98, 14, 54, 44, 38, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:57, 2393, 2393, 98, 14, 54, 44, 38, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:59, 2393, 2393, 98, 14, 54, 44, 38, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:02, 2393, 2393, 94, 14, 54, 44, 38, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:04, 2393, 2393, 94, 14, 54, 44, 38, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:07, 2393, 2393, 94, 14, 54, 44, 38, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 17:55:10, 2393, 2393, 94, 14, 54, 44, 38, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 18:55:12, 2393, 2393, 94, 14, 54, 44, 38, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 19:55:15, 2393, 2393, 94, 14, 54, 44, 38, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 20:55:17, 2393, 2393, 96, 14, 54, 44, 38, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 21:55:19, 2393, 2393, 96, 14, 54, 44, 38, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 22:55:22, 2393, 2393, 95, 14, 54, 44, 38, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 23:55:25, 2393, 2393, 95, 14, 54, 44, 38, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 00:55:27, 2393, 2393, 95, 14, 54, 44, 38, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 01:55:30, 2393, 2393, 95, 14, 54, 44, 38, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
