timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:55, -, 74, 98, 18, 22, 58, 55, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:58, 74, 74, 98, 18, 22, 58, 55, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:00, -, 74, 94, 18, 22, 58, 55, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:03, -, 74, 94, 18, 22, 58, 55, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:06, -, 74, 94, 18, 22, 58, 55, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 17:55:08, -, 74, 94, 18, 22, 58, 55, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 18:55:11, -, 74, 94, 18, 22, 58, 55, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 19:55:13, -, 74, 94, 18, 22, 58, 55, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 20:55:16, -, 74, 96, 18, 22, 58, 55, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 21:55:18, -, 74, 96, 18, 22, 58, 55, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 22:55:21, -, 74, 95, 18, 22, 58, 55, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 23:55:24, -, 74, 95, 18, 22, 58, 55, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 00:55:26, -, 74, 95, 18, 22, 58, 55, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 01:55:28, -, 74, 95, 18, 22, 58, 55, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 02:55:31, -, 74, 96, 18, 22, 58, 55, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 03:55:33, -, 74, 96, 18, 22, 58, 55, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 04:55:36, -, 74, 75, 18, 22, 58, 55, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 05:55:38, -, 74, 75, 18, 22, 58, 55, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 06:55:40, -, 74, 75, 18, 22, 58, 55, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 07:55:43, -, 59, 75, 18, 21, 58, 55, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 08:55:45, 61, 61, 63, 18, 20, 58, 55, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 09:55:48, 61, 61, 63, 18, 20, 58, 55, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 10:55:51, 61, 61, 63, 18, 20, 58, 55, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 11:55:53, 61, 61, 63, 18, 20, 58, 55, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 12:55:56, 61, 61, 65, 18, 20, 58, 55, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 13:55:58, 61, 61, 65, 18, 20, 58, 55, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 14:56:01, 61, 61, 63, 18, 20, 58, 55, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 15:56:04, 61, 61, 63, 18, 20, 58, 55, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 16:56:06, 61, 61, 63, 18, 20, 58, 55, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:37:21, 61, 61, 63, 18, 20, 58, 55, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
