timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:38:05, 102, 49, 54, 79, 22, 102, 98, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 10:56:50, 102, 49, 54, 79, 22, 102, 98, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:38:07, 102, 49, 54, 79, 22, 102, 98, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 11:56:53, 102, 49, 54, 79, 22, 102, 98, 31.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:38:10, 102, 49, 53, 79, 22, 102, 98, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 12:56:56, 102, 49, 53, 79, 22, 102, 98, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:38:13, 102, 49, 53, 79, 22, 102, 98, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 13:56:58, 102, 49, 53, 79, 22, 102, 98, 29.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:38:15, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 14:57:01, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:38:18, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 15:57:03, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:38:20, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 16:57:05, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:38:23, 102, 49, 53, 79, 22, 102, 98, 27.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 17:57:08, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:38:25, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 18:57:10, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:38:28, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 19:57:12, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:38:30, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 20:57:15, 102, 49, 55, 79, 22, 102, 98, 26.65
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:38:33, 102, 49, 68, 79, 22, 102, 98, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 21:57:17, 102, 49, 68, 79, 22, 102, 98, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:38:36, 102, 49, 68, 79, 22, 102, 98, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:57:20, 102, 49, 68, 79, 22, 102, 98, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:38:38, 102, 49, 68, 79, 22, 102, 98, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:57:22, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:38:40, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:57:24, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:38:43, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:57:27, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:38:45, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:57:29, 102, 49, 77, 79, 22, 102, 98, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:38:48, 102, 49, 65, 79, 22, 102, 98, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:57:32, 102, 49, 65, 79, 22, 102, 98, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:38:50, 102, 49, 65, 79, 22, 102, 98, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:57:34, 49, 49, 65, 79, 22, 102, 98, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:38:52, 49, 49, 65, 79, 22, 102, 98, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:57:37, 116, 52, 59, 77, 14, 107, 116, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:38:55, 120, 52, 59, 77, 13, 108, 120, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:57:39, 120, 52, 59, 77, 13, 108, 120, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:38:57, 120, 52, 59, 77, 13, 108, 120, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:57:41, 120, 52, 59, 77, 13, 108, 120, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:39:00, 122, 52, 43, 78, 13, 109, 122, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:57:44, 122, 52, 43, 78, 13, 109, 122, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
