timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:56, 50, 45, 98, 34, 24, 50, 44, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:59, 50, 45, 98, 34, 24, 50, 44, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:01, 50, 45, 94, 34, 24, 50, 44, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:04, 50, 45, 94, 34, 24, 50, 44, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:07, 50, 45, 94, 34, 24, 50, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 17:55:09, 50, 45, 94, 34, 24, 50, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 18:55:11, 50, 45, 94, 34, 24, 50, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 19:55:14, 50, 45, 94, 34, 24, 50, 44, 21.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 20:55:17, 50, 45, 96, 34, 24, 50, 44, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 21:55:19, 50, 45, 96, 34, 24, 50, 44, 21.62
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 22:55:22, 50, 45, 95, 34, 24, 50, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 23:55:24, 50, 45, 95, 34, 24, 50, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 00:55:27, 50, 45, 95, 34, 24, 50, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 01:55:29, 50, 45, 95, 34, 24, 50, 44, 21.21
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 02:55:32, 50, 45, 96, 34, 24, 50, 44, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 03:55:34, 50, 45, 96, 34, 24, 50, 44, 23.67
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 04:55:36, -, 45, 75, 34, 24, 50, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 05:55:39, -, 45, 75, 34, 24, 50, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 06:55:41, -, 45, 75, 34, 24, 50, 44, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 07:55:44, 44, 44, 75, 34, 24, 40, 35, 30
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 08:55:46, 44, 44, 63, 34, 24, 39, 35, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 09:55:49, 44, 44, 63, 34, 24, 39, 35, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 10:55:52, 44, 44, 63, 34, 24, 39, 35, 30.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 11:55:54, 44, 44, 65, 34, 24, 39, 35, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 12:55:57, 44, 44, 65, 34, 24, 39, 35, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 13:55:59, 44, 44, 65, 34, 24, 39, 35, 28.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
